state,data_source,has_placer_data,match_score,match_type,match_details,regulator_name,regulator_address,regulator_city,regulator_zip,regulator_county,placer_name,placer_address,placer_city,placer_zip,latitude,longitude,visits,sq_ft,visits_per_sq_ft,chain_name,chain_id,dispensary_id,census_state_fips,census_county_fips,census_tract_fips,census_geoid,census_tract_name,total_population,median_age,median_household_income,per_capita_income,total_pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,pop_1mi,pop_3mi,pop_5mi,pop_10mi,pop_20mi,pct_bachelor_plus,population_density,census_tract_error,census_data_complete,census_api_error,census_collection_date
FL,regulator_with_placer,True,96.4,fuzzy,addr:94|city:100|zip:100,Curaleaf,3811 Tyrone Boulevard,St. Petersburg,33709,Pinellas,Curaleaf,3811 Tyrone Blvd N,St. Petersburg,33709.0,27.806726455688477,-82.74932098388672,79875.0,4479.934889443957,17.829500198364258,Curaleaf,60a391b56b7a694c7c956ebe,FL_0160,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,97.0,fuzzy,addr:95|city:100|zip:100,Trulieve,5709 S Suncoast Boulevard,Homosassa,34446,Citrus,Trulieve,5679 S Suncoast Blvd,Homosassa,34446.0,28.77969741821289,-82.5546646118164,79170.0,3232.932904299444,24.48859977722168,Trulieve,600018e779364106f1345643,FL_0161,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Ayr Cannabis Dispensary,4805 Babcock Street NE,Palm Bay,32905,Brevard,AYR Cannabis Dispensary Palm Bay,4805 Babcock St NE,Palm Bay,32905.0,28.03110122680664,-80.62152862548828,79053.0,4163.335646111231,18.98789978027344,Ayr Wellness,61aca58b2812db3a0e8bd64e,FL_0162,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sanctuary Cannabis,11450 Beach Boulevard,Jacksonville,32246,Duval,Sanctuary Cannabis,11450 Beach Blvd,Jacksonville,32246.0,30.286378860473633,-81.52426147460938,78864.0,7294.455251313017,10.81149959564209,Sanctuary Cannabis,61ed68e44cb03861cd8e424e,FL_0163,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Curaleaf,1930 S McCall Road,Englewood,34223,Sarasota,Curaleaf,1930 South Mccall Road,Englewood,34223.0,26.93779182434082,-82.33438110351562,78649.0,6109.893902141774,12.872400283813477,Curaleaf,60a391b56b7a694c7c956ebe,FL_0164,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Surterra Wellness,3126 Flagler Avenue,Key West,33040,Monroe,Surterra Wellness,3126 Flagler Ave,Key West,33040.0,24.56122398376465,-81.76443481445312,78567.0,7831.014491139054,10.03279972076416,Surterra Wellness,60a3920e6b7a694c7c956ec3,FL_0165,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,93.4,fuzzy,addr:89|city:100|zip:100,Trulieve,7505 Red Bug Lake Road,Oviedo,32765,Seminole,Trulieve,7505 Red Bug Lake Rd #1029,Oviedo,32765.0,28.651025772094727,-81.24230194091797,77412.0,4791.710712599949,16.155399322509766,Trulieve,600018e779364106f1345643,FL_0166,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,GTI (Rise Dispensaries),1208 NE 5th Street,Crystal River,34429,Citrus,RISE Cannabis,1208 Ne 5th St,Crystal River,34429.0,28.89764404296875,-82.5706558227539,77277.0,2368.8250976140325,32.622501373291016,RISE Cannabis,633415c5c0a23d43dd5c7656,FL_0167,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sunnyside*,1260 Malabar Road,Palm Bay,32907,Brevard,Sunnyside,1260 Malabar Rd,Palm Bay,32907.0,27.998022079467773,-80.62431335449219,77234.0,4738.427701075824,16.29949951171875,Sunnyside,61ed699b873a701e0aea037b,FL_0168,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,85.0,fuzzy,addr:100|city:100|zip:0,Sunnyside*,811 NE 36th Avenue,Ocala,32270,Marion,Sunnyside,811 NE 36th Ave,Ocala,34470.0,29.19607162475586,-82.08621978759766,76807.0,5628.4532680582215,13.646200180053713,Sunnyside,61ed699b873a701e0aea037b,FL_0169,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
