census_geoid,latitude,longitude
12069030102,29.1148344,-81.5606561
42101000801,39.9497374,-75.1804054
42101013601,39.9690103,-75.178759
42091206104,40.1692647,-75.4788714
42129801100,40.5981043,-79.7078528
42101002100,39.9372214,-75.1768955
42003469000,40.417056,-80.0543165
42003421200,40.5146919,-79.9232115
42045401303,39.9455457,-75.3136543
42021000600,40.2960983,-78.9123899
12086014300,25.7758186,-80.4047272
12127083206,29.1712727,-81.2246774
12101030408,28.198596,-82.7589465
12011030402,26.2386183,-80.1329679
12103026913,28.0055866,-82.7347591
12083000806,28.9640179,-82.0297715
12117022205,28.6435482,-81.297996
12115001601,27.3125373,-82.502839
42095011300,40.6068827,-75.3386555
42133022300,39.8096093,-76.9943405
12095017004,28.4126187,-81.4554167
12057002500,27.9859443,-82.4916414
12117020803,28.7423008,-81.3136934
12011060900,26.1145791,-80.2311409
12073000200,30.4462737,-84.2737061
12103025602,27.9261028,-82.7931969
12127080700,29.3219396,-81.0726116
12086008421,25.676138,-80.380271
12086008313,25.632156,-80.364389
12115002007,27.2184216,-82.4789393
12031013200,30.2221088,-81.6691279
42045403104,39.9136443,-75.2716305
12057013409,27.8747543,-82.2354719
12023110300,30.3849935,-82.566959
42013011002,40.447215,-78.4284347
12115001505,27.3041779,-82.4613674
12035060213,29.4933524,-81.2074328
12075970101,29.449,-82.4782593
42045410304,39.8543603,-75.5217972
12057013412,27.8667075,-82.3118292
12115002737,27.0648393,-82.218765
12103025210,27.9028945,-82.8284855
12101031104,28.3377162,-82.674804
12015010504,26.87166,-81.992305
12103024302,27.8309933,-82.6606703
12127090904,28.8748696,-81.3317421
12035060215,29.5845137,-81.2704965
12011070318,26.0947353,-80.4007045
12093910500,27.2236381,-80.8160151
12001001902,29.6923515,-82.2859688
12111382007,27.2838157,-80.3544746
12117021314,28.6598644,-81.2181239
12071001203,26.6154568,-81.8488876
12099001500,26.7749741,-80.0558338
12011020204,26.263213,-80.2279917
12057010822,28.0715649,-82.4482036
42055011701,39.8114809,-77.7593694
12097041700,28.2886425,-81.4389744
42003474102,40.3402998,-80.0673364
12009071601,28.3416009,-80.7022867
12071010504,26.5725418,-81.9602909
12011080103,26.0433366,-80.1328019
12091023304,30.4047673,-86.444164
12103025305,27.9001299,-82.781843
12057012206,27.9654861,-82.2926144
42003562700,40.4533625,-80.011502
42101024100,40.0332734,-75.1759175
42079211204,41.3686775,-75.959478
42101016200,39.9840197,-75.1384217
12109020708,30.1766852,-81.4186648
12115002733,26.9962879,-82.3129327
12099007010,26.3831679,-80.1676878
42003489001,40.329498,-79.9506991
42017100103,40.0682737,-74.9721495
12009065240,27.886466,-80.505304
12115000200,27.3531833,-82.5417478
12095014812,28.4805056,-81.4670317
12071001204,26.620589,-81.8175931
42079212100,41.2835383,-75.8778852
42085032801,41.1922116,-80.0596548
42033330100,41.1023394,-78.7771573
12031010900,30.4017757,-81.7134136
42003523502,40.464176,-79.7901291
42133020721,39.9705466,-76.833601
42043023900,40.2079038,-76.7288801
12011050205,26.2237483,-80.1768546
12021000101,26.135465,-81.7974046
12099001302,26.7866727,-80.0745935
12071040134,26.6036285,-81.8074554
42101025800,40.0739801,-75.1823113
42003429400,40.5327787,-80.0275674
42101031800,40.0312941,-75.0771327
12127090803,28.9478191,-81.3383711
42097081800,40.7571789,-76.6429661
12105012407,28.2013746,-81.8025925
42133000600,39.9589454,-76.7087569
42003413202,40.5807668,-80.0580304
42079215502,41.1228477,-75.8979795
42081010502,41.3166427,-76.8980289
12031002400,30.2734733,-81.7051903
12099000905,26.8207423,-80.1196433
42003422000,40.5259961,-79.8889028
42069111802,41.3766186,-75.5631445
12103024908,27.8333073,-82.6908071
12127090807,28.9524778,-81.2809133
12095017505,28.6519003,-81.5238895
42101013900,39.9750563,-75.1711846
12021011206,26.3068251,-81.5217063
12021000200,26.1699418,-81.795686
12057013505,27.9348145,-82.3602597
42091207600,40.3517264,-75.4521442
42101004202,39.916857,-75.1516284
12011020211,26.2328517,-80.2256284
42079211101,41.3331766,-75.82115
12071050317,26.3539683,-81.801712
12105011821,27.9689754,-81.9356482
42071013002,40.122961,-76.166665
12033002000,30.4322442,-87.2614384
42101017300,39.9985706,-75.1609337
42003475200,40.3239562,-80.0560365
12011090601,26.0345169,-80.2396828
12071001706,26.5301358,-81.9178281
12101032700,28.3435001,-82.1487186
12057013315,27.9307323,-82.3415735
42091205100,40.0258927,-75.3083885
42045404400,39.8684176,-75.3581744
12099002400,26.7195051,-80.0590623
12083000803,29.046082,-82.033213
12127090202,29.0681583,-81.3124023
12086008910,25.7604823,-80.3296058
12049970101,27.6121633,-81.6801256
42017100401,40.1348354,-74.8731389
12101031704,28.2679173,-82.6376314
12099000220,26.9036952,-80.1195909
12069030210,28.8737448,-81.7045739
42003141200,40.4452265,-79.8969935
12053040400,28.5551435,-82.3778211
42003494000,40.2715536,-79.8871529
42045408800,39.9958929,-75.2969414
12081002021,27.4709064,-82.4459295
42129802700,40.3169469,-79.611982
12113010827,30.3868257,-86.8241321
42071013503,40.0448672,-76.3343754
42029300900,40.1225341,-75.5191344
12021010419,26.1824675,-81.7137846
12071010419,26.6231935,-81.9996699
12115002008,27.2293922,-82.4820499
