USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12005002708	1180373	3179052	0.456	1.227	30.2379259	-85.9187531                                                                                                                                       
FL	12005002709	5887171	37457	2.273	0.014	30.2364783	-85.8950513                                                                                                                                         
FL	12005002710	20476714	1270600	7.906	0.491	30.1973602	-85.7990844                                                                                                                                      
FL	12005002711	3695997	1902180	1.427	0.734	30.2032283	-85.8499314                                                                                                                                       
FL	12005002712	2623201	101666	1.013	0.039	30.1894175	-85.807339                                                                                                                                         
FL	12005002713	2597768	2278558	1.003	0.88	30.173839	-85.8031083                                                                                                                                         
FL	12005990000	0	1472698137	0.	568.612	29.9263709	-85.6508819                                                                                                                                           
FL	12007000100	51938027	120696	20.053	0.047	29.9472024	-82.0800238                                                                                                                                      
FL	12007000201	104802986	11649834	40.465	4.498	29.9814253	-82.1954666                                                                                                                                   
FL	12007000202	48820985	0	18.85	0.	29.9821196	-82.1429265                                                                                                                                               
FL	12007000301	126540298	1554675	48.857	0.6	29.8154123	-82.0823014                                                                                                                                      
FL	12007000302	253511560	3579995	97.881	1.382	29.9052741	-82.2600466                                                                                                                                    
FL	12007000400	175748265	0	67.857	0.	30.0678789	-82.1044475                                                                                                                                             
FL	12009060103	14039324	0	5.421	0.	28.6912116	-80.8674366                                                                                                                                               
FL	12009060104	13274842	572748	5.125	0.221	28.7595275	-80.88106                                                                                                                                         
FL	12009060105	15705747	8559359	6.064	3.305	28.6913195	-80.8439989                                                                                                                                      
FL	12009060106	25128266	7921499	9.702	3.059	28.7409523	-80.8465755                                                                                                                                      
FL	12009060201	5020730	0	1.939	0.	28.6512412	-80.8716929                                                                                                                                                
FL	12009060202	10055280	3376535	3.882	1.304	28.6300836	-80.8632772                                                                                                                                      
FL	12009060301	4799530	0	1.853	0.	28.6525411	-80.8563029                                                                                                                                                
FL	12009060302	5832949	2293893	2.252	0.886	28.648633	-80.8298884                                                                                                                                        
FL	12009060400	6841043	2770161	2.641	1.07	28.6259987	-80.8217906                                                                                                                                        
FL	12009060500	7959549	46549	3.073	0.018	28.617037	-80.8445467                                                                                                                                          
FL	12009060600	6744880	45099	2.604	0.017	28.5958293	-80.8358974                                                                                                                                         
FL	12009060700	2199816	0	0.849	0.	28.6074077	-80.8143413                                                                                                                                                
FL	12009061001	3869275	0	1.494	0.	28.5781845	-80.8115675                                                                                                                                                
FL	12009061002	2112236	0	0.816	0.	28.5625844	-80.8141652                                                                                                                                                
FL	12009061100	8667464	39904	3.347	0.015	28.5657664	-80.8352032                                                                                                                                         
FL	12009061201	13656072	6715496	5.273	2.593	28.535756	-80.8034655                                                                                                                                       
FL	12009061202	33704399	8555497	13.013	3.303	28.5137287	-80.8002689                                                                                                                                     
FL	12009062106	3720130	4253498	1.436	1.642	28.4795584	-80.769233                                                                                                                                        
FL	12009062108	5113912	0	1.974	0.	28.4802703	-80.7931936                                                                                                                                                
FL	12009062109	11169447	0	4.313	0.	28.4536614	-80.7850991                                                                                                                                               
FL	12009062110	10132467	100106	3.912	0.039	28.4416056	-80.8057154                                                                                                                                       
FL	12009062111	2801590	0	1.082	0.	28.4799949	-80.8134706                                                                                                                                                
FL	12009062112	3290368	4111628	1.27	1.588	28.4163719	-80.752991                                                                                                                                         
FL	12009062113	19264263	276935	7.438	0.107	28.411948	-80.7754525                                                                                                                                        
